,ChannelBandwidth,Freq,RSSI,channel_utilisation,count,distance,rxbytes,rxpackets,txbytes,txpackets,Score
1673,2,5785,-74,41.66666666666667,0,20.66315515425613,1678658045,1725431,223653552,899927,15.41
1677,0,2412,-62,6.944444444444445,0,12.448662607219172,1678658045,1725431,223653552,899927,40.13
1685,0,2462,-64,6.944444444444445,0,15.353661141422052,1678658045,1725431,223653552,899927,38.75
1690,1,5180,-94,0.0,0,230.76515939647047,1678658045,1725431,223653552,899927,38.69
1691,2,5785,-86,13.88888888888889,0,82.26150233168825,1678719227,1725564,223692264,900003,29.9
1696,0,2462,-65,6.944444444444445,0,17.22709114177449,1678719227,1725564,223692264,900003,38.08
1698,2,5785,-74,41.66666666666667,0,20.66315515425613,1678719227,1725564,223692264,900003,15.41
1699,1,2417,-61,6.944444444444445,0,11.07193046420907,1678719227,1725564,223692264,900003,41.87
1703,1,2412,-93,0.0,0,441.69521710927154,1678720118,1725566,223692880,900004,40.27
1714,0,2462,-80,2.7777777777777777,0,96.87505261840391,1678721128,1725568,223693483,900005,34.13
1721,0,2462,-65,6.944444444444445,0,17.22709114177449,1678724505,1725571,223693627,900007,38.08
1726,1,2412,-86,1.3888888888888888,0,197.2980062142689,1678724505,1725571,223694223,900008,35.95
1727,0,2412,-62,6.944444444444445,0,12.448662607219172,1678724505,1725571,223694223,900008,40.13
1729,2,5180,-88,13.88888888888889,0,115.65655185547364,1678724557,1725572,223694333,900009,29.44
1735,0,2462,-64,6.944444444444445,0,15.353661141422052,1678724557,1725572,223694333,900009,38.75
1743,2,5220,-85,13.88888888888889,0,81.25114634300544,1678771308,1725683,223725034,900103,29.61
1746,0,2462,-65,6.944444444444445,0,17.22709114177449,1678771308,1725683,223725034,900103,38.08
1751,1,2412,-86,1.3888888888888888,0,197.2980062142689,1678771308,1725683,223725034,900103,35.95
1752,0,2412,-62,6.944444444444445,0,12.448662607219172,1678771308,1725683,223725034,900103,40.13
1756,2,5240,-85,13.88888888888889,0,80.94102746383363,1678772219,1725684,223725034,900103,29.62
